rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,bin_conf
[6.79 0.59 0.59],9467,8054,721,692,6,4,1,1,17,16,22,1
[6.79 0.59 2.24],11687,8265,695,2727,7,4,1,2,19,16,26,2
[6.79 0.59 4.  ],13641,8118,729,4794,7,4,1,2,19,16,27,2
[6.79 0.59 6.79],17158,8108,750,8300,7,3,1,3,18,16,25,2
[6.79 0.59 7.11],17349,8169,725,8455,9,4,1,4,23,23,33,3
[6.79 0.59 8.09],18437,8122,717,9598,10,4,1,5,25,25,36,3
[6.79 0.59 8.92],19625,8246,695,10684,10,4,1,5,25,25,35,3
[6.79 2.24 0.59],11720,8368,2678,674,6,4,1,1,17,17,24,3
[6.79 2.24 2.24],13554,8178,2714,2662,6,4,1,1,17,17,24,3
[6.79 2.24 4.  ],15781,8119,2786,4876,7,4,1,2,19,19,26,3
[6.79 2.24 6.79],18956,8258,2636,8062,9,4,1,4,23,23,32,3
[6.79 2.24 7.11],19413,8247,2660,8506,10,4,1,5,25,25,35,3
[6.79 2.24 8.09],20530,8144,2669,9717,10,4,1,5,25,25,35,3
[6.79 2.24 8.92],21603,8177,2629,10797,10,4,1,5,25,25,37,3
[6.79 4.   0.59],13760,8352,4694,714,7,5,1,1,20,17,30,2
[6.79 4.   2.24],15747,8209,4874,2664,7,5,1,1,20,19,27,1
[6.79 4.   4.  ],17667,8015,4817,4835,10,5,2,3,27,25,43,1
[6.79 4.   6.79],21063,8006,4931,8126,10,5,1,4,26,26,37,3
[6.79 4.   7.11],21649,8165,4809,8675,9,4,1,4,23,21,38,2
[6.79 4.   8.09],22623,8138,4821,9664,9,3,1,5,22,21,34,2
[6.79 4.   8.92],23825,8198,4856,10771,11,5,1,5,28,24,38,2
[6.79 6.79 0.59],17224,8256,8225,743,7,4,2,1,20,20,33,3
[6.79 6.79 2.24],18986,8202,8094,2690,7,4,2,1,20,20,40,3
[6.79 6.79 4.  ],21288,8185,8130,4973,8,3,2,3,21,21,35,3
[6.79 6.79 6.79],24559,8265,8052,8242,10,4,2,4,26,26,43,3
[6.79 6.79 7.11],24793,7985,8242,8566,10,4,2,4,26,26,44,3
[6.79 6.79 8.09],26088,8115,8279,9694,12,4,3,5,31,28,49,1
[6.79 6.79 8.92],27017,8080,8241,10696,11,4,2,5,28,28,47,3
[6.79 7.11 0.59],17153,7964,8505,684,7,5,1,1,20,18,24,0
[6.79 7.11 2.24],19425,8118,8690,2617,10,4,4,2,28,26,39,1
[6.79 7.11 4.  ],21284,8194,8407,4683,9,4,3,2,25,25,47,3
[6.79 7.11 6.79],24991,8349,8552,8090,10,4,2,4,26,26,45,3
[6.79 7.11 7.11],25053,8202,8419,8432,12,5,3,4,32,32,57,3
[6.79 7.11 8.09],26389,8167,8618,9604,12,4,2,6,30,30,49,3
[6.79 7.11 8.92],27699,8279,8616,10804,13,5,2,6,33,29,51,2
[6.79 8.09 0.59],18574,8209,9686,679,8,4,2,2,22,21,37,1
[6.79 8.09 2.24],20514,8197,9615,2702,9,4,2,3,24,22,42,1
[6.79 8.09 4.  ],22473,8102,9669,4702,9,4,2,3,24,24,42,3
[6.79 8.09 6.79],25978,8193,9688,8097,9,4,2,3,24,24,46,3
[6.79 8.09 7.11],26338,8248,9571,8519,11,4,2,5,28,28,48,3
[6.79 8.09 8.09],27560,8200,9688,9672,10,3,2,5,25,25,47,3
[6.79 8.09 8.92],28611,7990,9921,10700,11,4,2,5,28,28,47,3
[6.79 8.92 0.59],19514,8115,10659,740,7,4,2,1,20,20,35,3
[6.79 8.92 2.24],21532,8270,10565,2697,11,4,4,3,30,27,42,1
[6.79 8.92 4.  ],24011,8287,10838,4886,10,6,2,2,28,24,45,2
[6.79 8.92 6.79],26759,8119,10716,7924,11,4,3,4,29,29,52,3
[6.79 8.92 7.11],27334,8130,10608,8596,10,4,2,4,26,22,47,2
[6.79 8.92 8.09],28612,8110,10609,9893,12,4,3,5,31,31,56,3
[6.79 8.92 8.92],29474,8121,10608,10745,13,4,4,5,34,30,55,1
[7.11 0.59 0.59],9870,8455,697,718,6,4,1,1,17,14,21,0
[7.11 0.59 2.24],11742,8287,712,2743,6,4,1,1,17,17,23,3
[7.11 0.59 4.  ],14064,8558,727,4779,7,4,1,2,19,19,27,3
[7.11 0.59 6.79],17346,8345,668,8333,9,4,1,4,23,23,32,3
[7.11 0.59 7.11],17863,8642,669,8552,10,5,1,4,26,26,37,3
[7.11 0.59 8.09],19118,8654,736,9728,11,5,1,5,28,28,40,3
[7.11 0.59 8.92],19960,8406,737,10817,11,4,1,6,27,25,36,2
[7.11 2.24 0.59],11971,8577,2706,688,6,4,1,1,17,16,23,1
[7.11 2.24 2.24],13897,8515,2701,2681,7,5,1,1,20,17,23,2
[7.11 2.24 4.  ],15979,8532,2582,4865,7,4,1,2,19,19,26,3
[7.11 2.24 6.79],19188,8454,2741,7993,9,4,1,4,23,23,33,3
[7.11 2.24 7.11],19812,8535,2718,8559,9,4,1,4,23,23,32,3
[7.11 2.24 8.09],20684,8219,2685,9780,9,4,1,4,23,20,29,2
[7.11 2.24 8.92],22200,8486,2728,10986,10,4,1,5,25,25,35,3
[7.11 4.   0.59],14037,8573,4752,712,7,5,1,1,20,16,23,0
[7.11 4.   2.24],15981,8581,4726,2674,6,4,1,1,17,17,24,3
[7.11 4.   4.  ],17946,8527,4669,4750,7,4,1,2,19,19,30,3
[7.11 4.   6.79],21583,8586,4918,8079,10,4,2,4,26,26,43,3
[7.11 4.   7.11],21823,8427,4826,8570,9,4,1,4,23,23,32,3
[7.11 4.   8.09],22993,8478,4856,9659,9,4,1,4,23,21,37,2
[7.11 4.   8.92],24173,8563,4901,10709,12,4,2,6,30,30,49,3
[7.11 6.79 0.59],17164,8456,7979,729,6,4,1,1,17,17,27,3
[7.11 6.79 2.24],19538,8705,8053,2780,7,4,2,1,20,20,34,3
[7.11 6.79 4.  ],21430,8538,8168,4724,9,4,2,3,24,24,42,3
[7.11 6.79 6.79],24846,8503,8215,8128,10,4,2,4,26,26,42,3
[7.11 6.79 7.11],25431,8583,8296,8552,12,6,2,4,32,27,48,2
[7.11 6.79 8.09],26240,8560,8038,9642,11,4,2,5,28,28,47,3
[7.11 6.79 8.92],27397,8584,8100,10713,15,7,2,6,39,33,52,2
[7.11 7.11 0.59],17608,8505,8386,717,7,4,2,1,20,20,38,3
[7.11 7.11 2.24],19844,8622,8542,2680,7,4,2,1,20,17,31,2
[7.11 7.11 4.  ],21914,8470,8600,4844,9,4,4,1,26,24,36,1
[7.11 7.11 6.79],25204,8634,8567,8003,11,5,2,4,29,29,50,3
[7.11 7.11 7.11],25923,8589,8564,8770,10,4,2,4,26,26,45,3
[7.11 7.11 8.09],26976,8518,8599,9859,11,4,2,5,28,28,51,3
[7.11 7.11 8.92],28030,8601,8555,10874,13,6,2,5,34,29,52,2
[7.11 8.09 0.59],19021,8588,9712,721,7,4,2,1,20,17,33,2
[7.11 8.09 2.24],21040,8677,9686,2677,8,5,2,1,23,19,39,2
[7.11 8.09 4.  ],22908,8431,9627,4850,11,6,3,2,31,26,49,2
[7.11 8.09 6.79],26415,8364,9754,8297,10,4,2,4,26,26,46,3
[7.11 8.09 7.11],26667,8447,9563,8657,10,4,2,4,26,26,44,3
[7.11 8.09 8.09],27773,8524,9735,9514,11,5,1,5,28,25,44,2
[7.11 8.09 8.92],28935,8604,9660,10671,12,5,2,5,31,31,52,3
[7.11 8.92 0.59],19845,8334,10765,746,7,4,2,1,20,19,31,1
