rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,bin_conf
[2.24 0.59 0.59],4223,2806,706,711,3,1,1,1,8,7,7,2
[2.24 0.59 2.24],6173,2784,693,2696,3,1,1,1,8,7,10,1
[2.24 0.59 4.  ],8165,2692,718,4755,4,1,1,2,10,9,10,2
[2.24 2.24 0.59],6076,2727,2659,690,3,1,1,1,8,8,8,3
[2.24 2.24 2.24],7966,2674,2651,2641,3,1,1,1,8,8,9,3
[2.24 2.24 4.  ],10155,2659,2632,4864,6,2,1,3,15,15,19,3
[2.24 4.   0.59],8190,2642,4808,740,5,2,2,1,14,11,17,2
[2.24 4.   2.24],10054,2636,4698,2720,5,2,1,2,13,11,12,2
[2.24 4.   4.  ],12172,2655,4758,4759,5,2,1,2,13,11,16,2
[4.   0.59 0.59],6175,4779,686,710,4,2,1,1,11,8,12,0
[4.   0.59 2.24],8163,4690,715,2758,4,2,1,1,11,11,13,3
[4.   0.59 4.  ],10321,4790,695,4836,6,2,1,3,15,15,20,3
[4.   2.24 0.59],8302,4860,2725,717,5,3,1,1,14,14,18,3
[4.   2.24 2.24],10255,4853,2731,2671,5,3,1,1,14,12,16,2
[4.   2.24 4.  ],12342,4764,2662,4916,6,2,1,3,15,15,20,3
[4.   4.   0.59],10339,4812,4774,753,5,3,1,1,14,14,21,3
[4.   4.   2.24],12420,4837,4769,2814,7,4,1,2,19,16,22,2
[4 4 4],14154,4618,4757,4779,6,3,1,2,16,16,24,3
[0.59 0.59 0.59],2089,690,718,681,4,1,2,1,11,7,7,0
[0.59 0.59 2.24],4135,723,720,2692,3,1,1,1,8,7,8,2
[0.59 0.59 4.  ],6156,702,688,4766,4,1,1,2,10,9,10,2
[0.59 2.24 0.59],4042,646,2683,713,3,1,1,1,8,6,7,0
[0.59 2.24 2.24],6165,731,2759,2675,3,1,1,1,8,7,7,2
[0.59 2.24 4.  ],8025,707,2661,4657,4,1,1,2,10,9,10,2
[0.59 4.   0.59],6225,691,4809,725,5,1,2,2,13,9,16,0
[0.59 4.   2.24],8380,769,4830,2781,3,1,1,1,8,7,7,2
[0.59 4.   4.  ],10507,726,4852,4929,5,1,1,3,12,11,14,2
[2.24 0.59 0.59],4064,2648,725,691,3,1,1,1,8,8,8,3
[2.24 0.59 2.24],5989,2646,688,2655,4,2,1,1,11,10,12,2
[2.24 0.59 4.  ],8233,2655,740,4838,6,2,1,3,15,13,18,2
[2.24 2.24 0.59],5971,2569,2729,673,3,1,1,1,8,7,8,1
[2.24 2.24 2.24],7923,2665,2589,2669,3,1,1,1,8,8,8,3
[2.24 2.24 4.  ],10114,2711,2705,4698,4,1,1,2,10,10,12,3
[2.24 4.   0.59],8355,2798,4823,734,3,1,1,1,8,8,10,1
[2.24 4.   2.24],10347,2687,4884,2776,3,1,1,1,8,8,12,3
[2.24 4.   4.  ],12221,2687,4719,4815,5,1,1,3,12,12,14,3
[4.   0.59 0.59],6179,4792,687,700,4,2,1,1,11,10,13,1
[4.   0.59 2.24],8390,4902,727,2761,4,2,1,1,11,11,13,3
[4.   0.59 4.  ],10216,4704,672,4840,5,2,1,2,13,13,16,3
[4.   2.24 0.59],8188,4798,2627,763,4,2,1,1,11,9,14,2
[4.   2.24 2.24],10127,4773,2738,2616,5,2,1,2,13,13,17,3
[4.   2.24 4.  ],12354,4873,2666,4815,6,2,1,3,15,15,19,3
[4.   4.   0.59],10103,4760,4673,670,4,2,1,1,11,11,18,3
[4.   4.   2.24],12440,4855,4862,2723,5,3,1,1,14,14,20,3
[4 4 4],14332,4901,4696,4735,7,2,3,2,19,17,21,1
[0.59 0.59 0.59],2079,714,682,683,3,1,1,1,8,6,6,0
[0.59 0.59 2.24],4132,714,728,2690,3,1,1,1,8,7,8,1
[0.59 0.59 4.  ],6221,691,708,4822,5,1,1,3,12,11,13,2
[0.59 2.24 0.59],4231,750,2753,728,3,1,1,1,8,7,7,2
[0.59 2.24 2.24],5955,682,2710,2563,3,1,1,1,8,7,7,2
[0.59 2.24 4.  ],8213,763,2658,4792,4,1,1,2,10,9,11,2
[0.59 4.   0.59],6159,685,4730,744,3,1,1,1,8,7,7,2
[0.59 4.   2.24],8200,739,4822,2639,3,1,1,1,8,8,8,3
[0.59 4.   4.  ],10194,688,4787,4719,5,1,1,3,12,12,19,3
[2.24 0.59 0.59],4164,2691,728,745,3,1,1,1,8,6,8,0
[2.24 0.59 2.24],6016,2656,721,2639,5,3,1,1,14,11,11,2
[2.24 0.59 4.  ],8216,2668,705,4843,4,1,1,2,10,9,11,2
[2.24 2.24 0.59],6167,2720,2709,738,3,1,1,1,8,8,8,3
[2.24 2.24 2.24],7954,2687,2646,2621,4,1,1,2,10,10,11,3
[2.24 2.24 4.  ],10080,2684,2718,4678,5,2,1,2,13,13,16,3
[2.24 4.   0.59],8207,2789,4682,736,3,1,1,1,8,8,15,3
