rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
[2.24  0.672 0.672],4394,2739,813,842,4,2,1,1,11,8,8,0.0018206645425580335,0.0018206645425580335,0
[4.  1.2 1.2],7791,4919,1424,1448,7,5,1,1,20,17,20,0.002182004877422667,0.002567064561673726,0
[6.79 2.03 2.03],13230,8288,2416,2526,12,8,1,3,33,29,33,0.0021919879062736207,0.002494331065759637,2
[7.11 2.13 2.13],13698,8593,2526,2579,12,8,1,3,33,28,33,0.0020440940283253032,0.0024091108190976785,2
[8.09 2.42 2.42],15355,9682,2842,2831,14,10,1,3,39,34,39,0.0022142624552263105,0.0025398892868772386,2
[8.92 2.67 2.67],17179,10745,3222,3212,16,11,2,3,45,38,45,0.0022120030269515106,0.002619477268758368,2
[0.59  0.177 0.177],1212,779,214,219,3,1,1,1,8,6,6,0.0049504950495049506,0.0049504950495049506,0
[2.24  0.672 0.672],4218,2681,791,746,4,2,1,1,11,10,10,0.002370791844476055,0.002370791844476055,1
[4.  1.2 1.2],7797,4870,1482,1445,7,5,1,1,20,17,20,0.00218032576632038,0.002565089136847505,2
[6.79 2.03 2.03],13059,8116,2509,2434,11,8,1,2,31,26,30,0.001990964086070909,0.002297266253158741,2
[7.11 2.13 2.13],13704,8573,2562,2569,13,9,1,3,36,31,36,0.002262113251605371,0.002626970227670753,2
[8.09 2.42 2.42],15439,9622,2962,2855,15,10,2,3,42,34,42,0.0022022151693762548,0.002720383444523609,0
[8.92 2.67 2.67],17114,10648,3173,3293,15,10,2,3,42,36,42,0.0021035409606170387,0.0024541311207198786,2
[0.59  0.177 0.177],1101,703,194,204,3,1,1,1,8,6,6,0.005449591280653951,0.005449591280653951,0
[2.24  0.672 0.672],4393,2738,812,843,4,2,1,1,11,10,11,0.0022763487366264518,0.002503983610289096,2
[4.  1.2 1.2],7648,4776,1411,1461,8,5,1,2,22,18,22,0.002353556485355649,0.002876569037656904,0
[6.79 2.03 2.03],13019,8182,2395,2442,13,9,2,2,37,31,36,0.002381135263845149,0.002765189338658883,2
[7.11 2.13 2.13],13649,8538,2540,2571,14,9,2,3,39,31,37,0.0022712286614403987,0.002710821305590153,0
[8.09 2.42 2.42],15572,9650,2933,2989,13,9,1,3,36,31,36,0.001990752632930901,0.002311841767274595,2
[8.92 2.67 2.67],17192,10733,3219,3240,15,10,2,3,42,36,43,0.0020939972080037225,0.0025011633317822248,2
[0.59  0.177 0.177],1135,704,226,205,3,1,1,1,8,6,6,0.005286343612334802,0.005286343612334802,0
[2.24  0.672 0.672],4271,2702,835,734,4,2,1,1,11,9,9,0.0021072348396160147,0.0021072348396160147,0
[4.  1.2 1.2],7749,4814,1425,1510,8,5,1,2,22,18,21,0.0023228803716608595,0.002710027100271003,0
[6.79 2.03 2.03],13157,8216,2491,2450,11,8,1,2,31,31,32,0.0023561602188948852,0.0024321653872463327,3
[7.11 2.13 2.13],13751,8667,2566,2518,14,9,2,3,39,33,39,0.0023998254672387464,0.002836157370373064,2
[8.09 2.42 2.42],15455,9640,2925,2890,12,9,1,2,34,29,34,0.0018764153995470718,0.002199935296020705,2
[8.92 2.67 2.67],17082,10655,3227,3200,16,11,2,3,45,38,45,0.0022245638683994853,0.0026343519494204425,2
[0.59  0.177 0.177],1127,737,208,182,2,1,0,1,5,5,5,0.004436557231588288,0.004436557231588288,0
[2.24  0.672 0.672],4331,2732,819,780,5,3,1,1,14,11,11,0.002539829138767028,0.002539829138767028,0
[4.  1.2 1.2],7613,4814,1380,1419,8,5,1,2,22,19,22,0.002495730986470511,0.0028897937738079603,2
[6.79 2.03 2.03],12995,8105,2461,2429,12,8,1,3,33,30,34,0.002308580223162755,0.002616390919584456,2
