rate,n_services,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
1.0,27,52,22,81,0.4230769230769231,3.6818181818181817,2
1.5,44,92,36,155,0.39130434782608703,4.305555555555555,2
2.0,58,123,59,265,0.4796747967479675,4.491525423728813,2
2.5,90,172,68,305,0.3953488372093023,4.485294117647058,3
3.0,94,201,89,408,0.4427860696517413,4.584269662921348,3
3.5,96,210,97,439,0.4619047619047619,4.525773195876289,3
4.0,132,266,156,739,0.5864661654135338,4.737179487179487,3
4.5,135,293,137,639,0.4675767918088738,4.664233576642336,3
5.0,136,295,159,754,0.5389830508474577,4.7421383647798745,3
5.5,172,347,220,1054,0.6340057636887608,4.790909090909091,1
6.0,181,351,144,669,0.41025641025641024,4.645833333333333,1
0.5,9,17,12,33,0.7058823529411765,2.75,2
1.0,26,54,16,52,0.2962962962962963,3.25,2
1.5,41,91,36,152,0.3956043956043956,4.222222222222221,2
2.0,64,132,57,251,0.4318181818181818,4.4035087719298245,2
2.5,77,160,90,418,0.5625,4.644444444444446,2
3.0,95,199,108,505,0.542713567839196,4.675925925925926,1
3.5,107,243,129,605,0.5308641975308642,4.689922480620155,3
4.0,117,231,124,576,0.5367965367965368,4.645161290322581,3
4.5,133,280,155,739,0.5535714285714286,4.767741935483871,3
5.0,147,304,181,863,0.5953947368421053,4.767955801104971,3
5.5,157,318,176,832,0.5534591194968553,4.727272727272728,3
6.0,194,390,261,1263,0.6692307692307692,4.839080459770115,2
0.5,15,32,11,39,0.34375,3.5454545454545454,0
1.0,30,70,24,92,0.3428571428571429,3.8333333333333335,2
1.5,42,79,36,155,0.4556962025316456,4.305555555555555,2
2.0,51,105,36,147,0.3428571428571429,4.083333333333333,3
2.5,73,162,96,443,0.5925925925925926,4.614583333333333,1
3.0,91,183,81,369,0.4426229508196721,4.5555555555555545,3
3.5,91,202,133,630,0.6584158415841584,4.7368421052631575,2
4.0,113,247,128,599,0.5182186234817814,4.6796875,3
