context,rate,n_services,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
4,2.5,55,150,68,267,0.4533333333333333,0.2546816479400749,21
4,2.5,55,150,68,267,0.4533333333333333,0.2546816479400749,22
4,2.5,55,150,68,271,0.4533333333333333,0.25092250922509224,23
4,2.5,55,150,81,253,0.54,0.3201581027667984,24
4,2.5,55,150,81,253,0.54,0.3201581027667984,25
4,2.5,55,150,81,260,0.54,0.31153846153846154,26
4,2.5,55,150,81,260,0.54,0.31153846153846154,27
5,3,69,188,85,340,0.4521276595744681,0.25,0
5,3,69,188,85,340,0.4521276595744681,0.25,1
5,3,69,188,85,333,0.4521276595744681,0.2552552552552553,2
5,3,69,188,85,333,0.4521276595744681,0.2552552552552553,3
5,3,69,188,85,333,0.4521276595744681,0.2552552552552553,4
5,3,69,188,85,333,0.4521276595744681,0.2552552552552553,5
5,3,69,188,85,340,0.4521276595744681,0.25,6
5,3,69,188,85,340,0.4521276595744681,0.25,7
5,3,69,188,85,340,0.4521276595744681,0.25,8
5,3,69,188,102,348,0.5425531914893617,0.29310344827586204,9
5,3,69,188,85,340,0.4521276595744681,0.25,10
5,3,69,188,85,340,0.4521276595744681,0.25,11
5,3,69,188,85,333,0.4521276595744681,0.2552552552552553,12
5,3,69,188,85,333,0.4521276595744681,0.2552552552552553,13
5,3,69,188,85,333,0.4521276595744681,0.2552552552552553,14
5,3,69,188,85,333,0.4521276595744681,0.2552552552552553,15
5,3,69,188,85,333,0.4521276595744681,0.2552552552552553,16
5,3,69,188,85,333,0.4521276595744681,0.2552552552552553,17
5,3,69,188,85,333,0.4521276595744681,0.2552552552552553,18
5,3,69,188,85,333,0.4521276595744681,0.2552552552552553,19
5,3,69,188,85,333,0.4521276595744681,0.2552552552552553,20
5,3,69,188,85,333,0.4521276595744681,0.2552552552552553,21
5,3,69,188,85,333,0.4521276595744681,0.2552552552552553,22
5,3,69,188,85,340,0.4521276595744681,0.25,23
5,3,69,188,102,339,0.5425531914893617,0.3008849557522124,24
5,3,69,188,102,339,0.5425531914893617,0.3008849557522124,25
5,3,69,188,102,348,0.5425531914893617,0.29310344827586204,26
5,3,69,188,102,348,0.5425531914893617,0.29310344827586204,27
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,0
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,1
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,2
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,3
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,4
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,5
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,6
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,7
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,8
6,0.5,12,33,20,70,0.6060606060606061,0.2857142857142857,9
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,10
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,11
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,12
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,13
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,14
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,15
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,16
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,17
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,18
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,19
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,20
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,21
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,22
6,0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,23
6,0.5,12,33,20,70,0.6060606060606061,0.2857142857142857,24
6,0.5,12,33,20,70,0.6060606060606061,0.2857142857142857,25
